,index,home_team_total_fifa_points,home_team_fifa_rank,away_team_total_fifa_points,away_team_fifa_rank
774,21653,1475,36,1372,64
775,22919,1334,75,1096,134
776,21647,1441,44,1662,4
777,16101,764,32,927,17
778,23313,1350,70,1269,85
779,15207,611,46,806,24
780,17190,401,82,264,121
781,19193,417,85,754,33
782,14681,304,112,225,137
783,23303,1309,78,1625,15
784,14680,51,187,393,91
785,19934,711,44,1618,2
786,22049,1558,19,1390,56
787,14415,195,133,439,78
788,18798,560,55,486,73
789,18981,89,181,224,141
790,18612,292,122,555,62
791,20373,611,51,718,36
792,18202,394,86,890,22
793,17450,328,100,408,80
794,15882,436,81,506,65
795,23214,1501,32,1305,80
796,15423,13,201,484,69
797,17559,346,98,609,54
798,14492,394,87,173,145
799,15091,457,77,549,55
800,19207,686,39,329,103
801,19345,795,32,500,70
802,20601,1060,149,1204,107
803,14820,292,115,683,36
804,17771,117,164,86,178
805,17702,802,32,725,40
806,14949,589,50,573,54
807,17218,168,148,260,120
808,15912,394,90,811,26
809,17445,529,61,522,64
810,20839,927,183,1251,95
811,18553,389,89,316,110
812,18097,764,31,509,67
813,14423,881,19,158,147
814,23909,1544,26,1827,2
815,20732,1191,110,923,186
816,22515,967,171,1078,141
817,17244,322,102,780,31
818,19958,438,79,227,136
819,22311,1334,72,1412,54
820,22870,1170,110,1822,1
821,15722,374,96,110,164
822,21552,1028,155,1342,68
823,16327,1089,9,1099,7
824,19612,697,44,287,113
825,15605,126,163,159,152
826,16798,88,165,227,122
827,16204,210,140,320,106
828,17143,417,79,245,125
829,23300,863,198,1084,136
830,21113,1190,110,1302,79
831,21265,1375,60,1561,16
832,22169,1612,12,1185,109
833,16316,304,112,286,117
834,18435,997,15,871,24
835,20347,432,72,308,107
836,18163,410,82,163,158
837,20726,982,166,1212,104
838,22278,1347,69,1060,148
839,18155,587,55,476,71
840,22151,1485,32,1486,31
841,20378,1198,7,872,25
842,15389,484,69,593,49
843,22621,1476,35,1742,3
